[LOG] System::create                           : Header version = 1.09.04. Current version = 1.09.04.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : FMOD Studio Version: 00010904 (86084)
[LOG] SystemI::init                            : maxchannels = 256, flags = 00020000, extradriverdata = 0000000000000000
[LOG] SystemI::setOutputInternal               : Setting output to type 0
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] SystemI::init                            : Create master channel group and master sound group.
[LOG] SystemI::init                            : Set up emulated output.  256 channels
[LOG] SystemI::init                            : create the channel pool
[LOG] SystemI::init                            : create the stream thread
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000000000754BF8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
